exe,min,1stQ,median,mean,3rdQ,max,sdev
find_find,46.48,46.63,46.87,47.39,48.26,50.45,1.0451405
find_memchr,31.63,31.73,31.95,32.12,32.27,33.73,0.54734383
find_naive,49.41,49.52,49.65,50.00,50.38,51.91,0.69345417
find_musl,53.70,53.94,54.30,54.64,55.27,56.38,0.82097808
find_uclibc,53.89,53.98,54.24,54.64,54.95,57.76,0.9817614
find_avx2_overflow,29.08,29.14,29.18,29.36,29.46,30.39,0.35806351
find_avx2_nozero,28.93,29.10,29.30,29.53,29.90,30.73,0.58224068
find_avx2,29.08,29.10,29.45,29.56,29.70,30.69,0.54289090
find_avx2_overflow_ext,28.33,28.44,28.53,28.69,28.79,30.07,0.42766779
find_avx2_align,29.05,29.14,29.26,29.43,29.55,30.45,0.4249396
find_avx2_align2,28.98,29.06,29.16,29.70,30.07,32.24,1.02598348
find_avx2_more,28.63,28.69,28.79,29.07,29.32,30.88,0.55826423
find_avx2_loop,28.82,28.87,29.05,29.23,29.34,30.42,0.47334865
find_diet,31.66,31.71,31.81,31.99,32.02,33.35,0.47842945
find_sse,30.56,30.72,30.86,31.13,31.44,32.43,0.59167025
find_uclibcx86,70.76,70.88,71.11,71.43,71.95,73.12,0.78288182
