tag,usec,cswitch,cpu_migr,page_fault,cycles,ghz,ins,ins_cyc,br,br_mis,br_mis_rate,date,rc,cmd,args
find_naive,53681705635,0,0,100,173802794802,3.238,545200058858,3.14,164079706089,899574613,0.55,2016-10-09 23:54:50,0,./find_naive,"['30000', 'in']"
find_naive,51931859949,0,0,97,168672348571,3.248,545200057245,3.23,164079704476,899970143,0.55,2016-10-09 23:56:42,0,./find_naive,"['30000', 'in']"
find_naive,51447604357,0,0,95,167682305706,3.259,545200056756,3.25,164079703987,899697912,0.55,2016-10-09 23:58:33,0,./find_naive,"['30000', 'in']"
find_naive,50913397049,0,0,91,163457592314,3.211,545200056358,3.34,164079703589,899711566,0.55,2016-10-10 00:00:24,0,./find_naive,"['30000', 'in']"
find_naive,50898396445,0,0,97,165755290128,3.257,545200056230,3.29,164079703461,899620496,0.55,2016-10-10 00:02:15,0,./find_naive,"['30000', 'in']"
find_naive,50493599848,0,0,97,162745358439,3.223,545200058256,3.35,164079705487,899708178,0.55,2016-10-10 00:04:06,0,./find_naive,"['30000', 'in']"
find_naive,50511070779,0,0,93,164529681498,3.257,545200055999,3.31,164079703230,899606730,0.55,2016-10-10 00:05:57,0,./find_naive,"['30000', 'in']"
find_naive,50498791057,0,0,92,164258254610,3.253,545200055834,3.32,164079703065,899619130,0.55,2016-10-10 00:07:47,0,./find_naive,"['30000', 'in']"
find_naive,49398446572,0,0,95,160806965356,3.255,545200054763,3.39,164079701994,899563717,0.55,2016-10-10 00:09:37,0,./find_naive,"['30000', 'in']"
find_naive,51235434305,0,0,92,166453199129,3.249,545200056545,3.28,164079703776,899672983,0.55,2016-10-10 00:11:28,0,./find_naive,"['30000', 'in']"
find_avx2_nozero,28964232042,0,0,94,91587920518,3.162,298943024382,3.26,57812841584,271914054,0.47,2016-10-10 00:12:57,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,29214072633,0,0,97,91700648460,3.139,298943024498,3.26,57812841700,273777982,0.47,2016-10-10 00:14:26,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,29019753110,0,0,95,91788925296,3.163,298943024355,3.26,57812841557,279439118,0.48,2016-10-10 00:15:55,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,29519667420,0,0,95,93291083079,3.160,298943024859,3.20,57812842061,271664787,0.47,2016-10-10 00:17:25,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,30079211121,0,0,93,95519508233,3.176,298943025592,3.13,57812842794,273125348,0.47,2016-10-10 00:18:55,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,29690649249,0,0,100,93609354777,3.153,298943025007,3.19,57812842209,272731624,0.47,2016-10-10 00:20:25,0,./find_avx2_nozero,"['30000', 'in']"
