exe,min,1stQ,median,mean,3rdQ,max,sdev
find_find,100.5,100.7,100.8,100.9,100.9,102.1,0.4198684
find_memchr,99.10,99.72,100.00,100.17,100.25,102.20,0.8047720
find_naive,125.6,125.9,126.0,126.1,126.3,126.5,0.2504732
find_musl,100.9,101.2,101.9,101.6,101.9,102.0,0.42361229
find_uclibc,101.4,101.6,101.8,101.7,101.9,102.0,0.1926956
ss_find_find,106.9,107.0,107.1,107.1,107.2,107.3,0.13562720
ss_find_memchr,99.40,99.67,100.15,100.05,100.33,100.60,0.38726436
ss_find_musl,99.9,100.1,100.7,100.5,100.8,100.8,0.3599708
ss_find_naive,105.2,105.5,105.5,105.5,105.6,105.7,0.1308877
ss_find_uclibc,98.90,99.00,99.05,99.19,99.50,99.80,0.30689446
